loser_age,loser_hand,loser_ioc,loser_rank,loser_rank_points,surface,tourney_level,winner_age,winner_hand,winner_ioc,winner_rank,winner_rank_points,year,games,id
20.90075291,R,FRA,14,1686,Clay,G,26.48870637,L,USA,3,2691,2000,2,242
24.95277207,R,SWE,53,627,Clay,G,25.36892539,R,FRA,7,2542,2000,2,243
24.21902806,R,AUT,17,1405,Clay,G,28.44626968,R,ESP,9,1874,2000,3,244
25.48391513,R,GER,12,1789,Clay,G,19.94798084,R,USA,4,2577,2000,2,245
24.90075291,R,JPN,21,1238,Clay,G,28.11772758,R,ESP,5,2573,2000,3,246
24.27652293,R,USA,25,1041,Clay,G,19.6605065,R,SUI,1,5982,2000,2,248
26.48870637,L,USA,3,2691,Clay,G,25.36892539,R,FRA,7,2542,2000,3,249
19.94798084,R,USA,4,2577,Clay,G,28.44626968,R,ESP,9,1874,2000,3,250
17.36618754,R,ESP,108,278,Clay,G,28.11772758,R,ESP,5,2573,2000,2,251
28.44626968,R,ESP,9,1874,Clay,G,28.11772758,R,ESP,5,2573,2000,2,253
24.88980151,R,ESP,42,722,Grass,G,19.73716632,R,SUI,1,6000,2000,2,255
22.18754278,R,ITA,88,366,Grass,G,26.32443532,R,CHN,78,393,2000,2,256
21.3798768,R,CZE,37,773,Grass,G,18.29979466,R,CRO,58,595,2000,3,257
26.2532512,R,ROU,69,490,Grass,G,22.4476386,R,CRO,22,1178,2000,2,258
29.26762491,R,CAN,101,315,Grass,G,25.30595483,R,BUL,86,375,2000,2,259
18.35181383,R,GBR,349,45,Grass,G,19.34839151,R,SLO,67,496,2000,2,260
21.3744011,R,USA,91,345,Grass,G,22.43394935,R,GBR,119,244,2000,3,261
25.01300479,U,GBR,253,82,Grass,G,25.56057495,R,GER,11,1893,2000,2,262
29.79329227,R,FRA,14,1725,Grass,G,26.52703628,R,NED,85,376,2000,3,263
23.43600274,R,RUS,93,344,Grass,G,20.62149213,R,HUN,108,289,2000,3,265
22.43942505,R,HUN,105,297,Grass,G,23.94524298,R,ISR,59,568,2000,2,266
24.35318275,R,USA,18,1378,Grass,G,21.34428474,R,FRA,24,1135,2000,2,268
24.23545517,R,JPN,135,206,Grass,G,24.97741273,R,JPN,20,1257,2000,2,269
24.96646133,R,CZE,41,723,Grass,G,20.02464066,R,USA,5,2647,2000,2,270
24.69267625,R,LUX,34,860,Grass,G,28.19438741,R,ESP,4,2831,2000,2,271
27.69883641,R,USA,68,490,Grass,G,24.1724846,R,CAN,79,391,2000,2,272
21.53045859,R,SVK,70,482,Grass,G,23.76180698,R,GER,96,325,2000,2,273
26.04791239,R,CAN,71,469,Grass,G,26.87748118,R,USA,21,1178,2000,3,274
23.85489391,U,GBR,297,62,Grass,G,27.76728268,R,USA,25,1101,2000,2,275
22.13552361,R,CZE,109,285,Grass,G,19.41136208,R,AUS,130,218,2000,3,276
18.69678303,R,RUS,29,1002,Grass,G,18.05065024,R,RUS,57,598,2000,2,277
24.29568789,R,AUT,17,1391,Grass,G,20.64887064,R,BLR,92,344,2000,2,278
28.22997947,R,FRA,10,1898,Grass,G,19.05270363,R,RUS,19,1366,2000,3,279
